x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-990.53000E-03,+1.79679658E+00,+3.49167094E+00,-182.91453E-03,+3.31254992E+00
-990.49000E-03,+992.77647E-03,+3.49167094E+00,-157.78890E-03,+3.23717304E+00
-990.45000E-03,+1.67116843E+00,+3.36604279E+00,-233.16579E-03,+3.36280118E+00
-990.41000E-03,+1.04302772E+00,+3.29066591E+00,-233.16579E-03,+3.31254992E+00
-990.37000E-03,-12.24867E-03,+3.29066591E+00,-233.16579E-03,+3.23717304E+00
-990.33000E-03,+1.74654532E+00,+3.41629405E+00,-233.16579E-03,+3.11154489E+00
-990.29000E-03,+1.04302772E+00,+3.36604279E+00,-233.16579E-03,+3.16179615E+00
-990.25000E-03,-137.87681E-03,+3.41629405E+00,-233.16579E-03,+3.23717304E+00
-990.21000E-03,+1.79679658E+00,+3.36604279E+00,-233.16579E-03,+3.23717304E+00
-990.17000E-03,+1.11840461E+00,+3.29066591E+00,-233.16579E-03,+3.36280118E+00
-990.13000E-03,+1.74654532E+00,+3.41629405E+00,-233.16579E-03,+1.17687151E+00
-990.09000E-03,+2.92744985E+00,+3.49167094E+00,-233.16579E-03,-179.91242E-03
-990.05000E-03,+1.11840461E+00,+3.49167094E+00,-233.16579E-03,-179.91242E-03
-990.01000E-03,+1.87217346E+00,+3.49167094E+00,-233.16579E-03,-179.91242E-03
-989.97000E-03,+3.00282674E+00,+3.36604279E+00,-107.53764E-03,-179.91242E-03
-989.93000E-03,+992.77647E-03,+3.41629405E+00,-157.78890E-03,-179.91242E-03
-989.89000E-03,+1.67116843E+00,+3.36604279E+00,-233.16579E-03,-179.91242E-03
-989.85000E-03,+2.92744985E+00,+3.41629405E+00,-107.53764E-03,-179.91242E-03
-989.81000E-03,+1.11840461E+00,+3.36604279E+00,-157.78890E-03,-179.91242E-03
-989.77000E-03,+1.74654532E+00,+3.41629405E+00,-233.16579E-03,-179.91242E-03
-989.73000E-03,+2.80182171E+00,+3.36604279E+00,-107.53764E-03,-179.91242E-03
-989.69000E-03,+917.39958E-03,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-989.65000E-03,-213.25369E-03,+3.29066591E+00,-233.16579E-03,-305.54056E-03
-989.61000E-03,-87.62555E-03,+3.29066591E+00,+1.90251262E+00,-255.28930E-03
-989.57000E-03,-12.24867E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-989.53000E-03,+1.74654532E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-989.49000E-03,+1.04302772E+00,+3.41629405E+00,+3.30954781E+00,-179.91242E-03
-989.45000E-03,+1.87217346E+00,+3.36604279E+00,+3.38492469E+00,-179.91242E-03
-989.41000E-03,+992.77647E-03,+3.41629405E+00,+3.25929655E+00,-179.91242E-03
